date,year,month,month_name,district,rainfall_mm,temperature_celsius,pH,turbidity_NTU,coliform_count_per100ml,dissolved_oxygen_mg_L,total_dissolved_solids_mg_L,population,cholera_cases,diarrhea_cases,typhoid_cases,hepatitis_a_cases,total_disease_cases,outbreak_alert,season,cases_last_month,cases_2_months_ago,rainfall_last_month,district_encoded,season_encoded
2024-02-01,2024,2,February,Coimbatore,7.15,30.38,8.25,9.46,233.07,8.96,363.62,2095123,25,60,10,5,100,0,Winter,71.0,114.0,45.35,1,3
2024-03-01,2024,3,March,Coimbatore,42.77,27.41,8.04,2.43,218.6,8.55,582.83,4612924,21,59,9,7,96,0,Summer,100.0,71.0,7.15,1,2
2024-04-01,2024,4,April,Coimbatore,46.92,37.11,8.36,3.46,244.93,7.69,452.84,4272515,31,104,10,9,154,1,Summer,96.0,100.0,42.77,1,2
2024-05-01,2024,5,May,Coimbatore,24.22,28.42,8.02,11.14,83.88,6.29,295.56,3318767,16,52,7,7,82,0,Summer,154.0,96.0,46.92,1,2
2024-06-01,2024,6,June,Coimbatore,77.4,24.65,7.53,22.01,74.49,4.04,1005.5,3179244,15,59,10,7,91,0,SW_Monsoon,82.0,154.0,24.22,1,1
2024-07-01,2024,7,July,Coimbatore,68.4,34.78,7.65,23.74,144.61,4.31,934.35,1569634,29,99,12,5,145,1,SW_Monsoon,91.0,82.0,77.4,1,1
2024-08-01,2024,8,August,Coimbatore,97.83,25.24,6.99,23.58,264.47,6.08,366.54,4860866,35,89,16,5,145,1,SW_Monsoon,145.0,91.0,68.4,1,1
2024-09-01,2024,9,September,Coimbatore,125.79,34.18,8.01,6.76,128.48,6.42,263.18,1082314,17,41,14,8,80,0,SW_Monsoon,145.0,145.0,97.83,1,1
2024-10-01,2024,10,October,Coimbatore,245.56,28.2,6.28,20.9,481.0,5.72,590.3,2203728,41,107,17,10,175,1,NE_Monsoon,80.0,145.0,125.79,1,0
2024-11-01,2024,11,November,Coimbatore,257.5,29.84,6.53,4.44,9.34,8.37,436.47,2944913,23,83,13,3,122,0,NE_Monsoon,175.0,80.0,245.56,1,0
2024-12-01,2024,12,December,Coimbatore,140.63,37.44,8.16,27.86,227.79,7.81,343.88,3963894,42,133,14,7,196,1,NE_Monsoon,122.0,175.0,257.5,1,0
2018-01-01,2018,1,January,Cuddalore,35.37,34.54,6.85,4.13,146.14,4.78,866.61,679354,24,57,7,6,94,0,Winter,0.0,0.0,0.0,2,3
2018-02-01,2018,2,February,Cuddalore,9.75,34.63,6.92,7.79,66.31,7.14,501.49,855431,18,49,11,2,80,0,Winter,94.0,0.0,35.37,2,3
2018-03-01,2018,3,March,Cuddalore,37.09,24.86,7.71,0.93,218.39,7.33,508.79,1532564,21,64,15,6,106,0,Summer,80.0,94.0,9.75,2,2
2018-04-01,2018,4,April,Cuddalore,21.44,31.84,6.22,2.06,35.33,4.93,712.02,733725,13,35,8,1,57,0,Summer,106.0,80.0,37.09,2,2
2018-05-01,2018,5,May,Cuddalore,30.87,24.41,7.79,8.12,34.82,5.07,264.49,821243,15,58,14,3,90,0,Summer,57.0,106.0,21.44,2,2
2018-06-01,2018,6,June,Cuddalore,146.1,32.62,6.23,17.05,175.56,6.83,849.08,3193974,33,96,11,8,148,1,SW_Monsoon,90.0,57.0,30.87,2,1
2018-07-01,2018,7,July,Cuddalore,151.68,31.84,6.55,19.29,384.27,4.85,1017.41,4200568,35,113,20,12,180,1,SW_Monsoon,148.0,90.0,146.1,2,1
2018-08-01,2018,8,August,Cuddalore,66.09,30.0,7.12,5.41,166.1,4.87,1048.79,4400275,22,58,7,7,94,0,SW_Monsoon,180.0,148.0,151.68,2,1
2018-09-01,2018,9,September,Cuddalore,154.34,29.11,8.3,19.0,317.28,7.03,826.78,1591723,36,107,13,11,167,1,SW_Monsoon,94.0,180.0,66.09,2,1
2018-10-01,2018,10,October,Cuddalore,301.25,24.27,8.11,5.98,545.82,7.02,934.98,3832696,32,103,23,13,171,1,NE_Monsoon,167.0,94.0,154.34,2,0
2018-11-01,2018,11,November,Cuddalore,280.37,24.08,7.56,27.36,199.86,4.54,620.88,2827654,28,85,15,10,138,1,NE_Monsoon,171.0,167.0,301.25,2,0
2018-12-01,2018,12,December,Cuddalore,271.65,29.13,7.94,30.92,64.15,5.57,1010.13,2790860,30,78,19,8,135,1,NE_Monsoon,138.0,171.0,280.37,2,0
2019-01-01,2019,1,January,Cuddalore,20.29,29.58,6.59,12.38,216.57,8.38,226.6,4963593,32,93,16,6,147,1,Winter,135.0,138.0,271.65,2,3
2019-02-01,2019,2,February,Cuddalore,5.64,31.8,7.72,9.8,206.16,6.86,266.75,3441507,18,61,11,4,94,0,Winter,147.0,135.0,20.29,2,3
2019-03-01,2019,3,March,Cuddalore,35.49,28.6,7.86,10.59,93.19,7.77,848.7,3620847,24,84,8,5,121,0,Summer,94.0,147.0,5.64,2,2
2019-04-01,2019,4,April,Cuddalore,42.85,31.18,7.25,10.56,190.35,6.79,824.94,4303454,22,63,8,8,101,0,Summer,121.0,94.0,35.49,2,2
2019-05-01,2019,5,May,Cuddalore,35.95,24.66,6.29,4.61,193.12,8.26,759.19,4291343,17,45,11,3,76,0,Summer,101.0,121.0,42.85,2,2
2019-06-01,2019,6,June,Cuddalore,88.67,29.14,6.39,2.39,106.45,4.37,303.77,2339968,15,54,15,4,88,0,SW_Monsoon,76.0,101.0,35.95,2,1
2019-07-01,2019,7,July,Cuddalore,139.48,25.58,7.43,3.51,366.48,6.54,1007.97,4357469,34,102,14,6,156,1,SW_Monsoon,88.0,76.0,88.67,2,1
2019-08-01,2019,8,August,Cuddalore,84.42,31.84,6.25,13.07,164.54,6.89,902.42,3846953,28,88,13,5,134,1,SW_Monsoon,156.0,88.0,139.48,2,1
2019-09-01,2019,9,September,Cuddalore,85.68,30.39,6.27,10.26,239.95,8.77,716.74,3712425,29,88,14,9,140,1,SW_Monsoon,134.0,156.0,84.42,2,1
2019-10-01,2019,10,October,Cuddalore,349.29,28.1,7.02,30.23,398.23,5.48,781.05,4237486,52,150,23,13,238,1,NE_Monsoon,140.0,134.0,85.68,2,0
2019-11-01,2019,11,November,Cuddalore,163.35,31.07,6.27,5.61,496.49,7.76,622.87,4186207,36,105,20,7,168,1,NE_Monsoon,238.0,140.0,349.29,2,0
2019-12-01,2019,12,December,Cuddalore,151.13,28.73,7.28,11.66,422.77,5.65,338.23,3089644,44,131,17,9,201,1,NE_Monsoon,168.0,238.0,163.35,2,0
2020-01-01,2020,1,January,Cuddalore,8.91,30.83,7.81,8.6,244.19,5.44,286.25,4875446,20,69,13,7,109,0,Winter,201.0,168.0,151.13,2,3
2020-02-01,2020,2,February,Cuddalore,13.7,25.75,6.63,6.13,260.55,8.0,632.8,4319128,25,77,14,6,122,0,Winter,109.0,201.0,8.91,2,3
2020-03-01,2020,3,March,Cuddalore,7.3,32.73,7.49,6.91,180.29,6.75,450.58,2128637,17,42,16,5,80,0,Summer,122.0,109.0,13.7,2,2
2020-04-01,2020,4,April,Cuddalore,42.91,37.15,6.77,8.93,193.09,7.4,452.28,3910331,29,93,10,8,140,1,Summer,80.0,122.0,7.3,2,2
2020-05-01,2020,5,May,Cuddalore,24.79,37.14,7.43,9.86,8.78,4.85,832.93,2008797,13,27,11,2,53,0,Summer,140.0,80.0,42.91,2,2
2020-06-01,2020,6,June,Cuddalore,78.54,32.88,8.08,15.81,130.37,7.28,410.46,1721793,21,61,10,9,101,0,SW_Monsoon,53.0,140.0,24.79,2,1
2020-07-01,2020,7,July,Cuddalore,96.86,37.44,8.09,20.67,72.32,5.35,485.63,4536589,32,108,8,8,156,1,SW_Monsoon,101.0,53.0,78.54,2,1
2020-08-01,2020,8,August,Cuddalore,120.14,31.64,7.56,22.51,3.6,4.24,391.49,3351957,21,49,15,8,93,0,SW_Monsoon,156.0,101.0,96.86,2,1
2020-09-01,2020,9,September,Cuddalore,159.18,27.18,6.91,23.64,349.34,6.35,754.6,2696856,43,133,16,8,200,1,SW_Monsoon,93.0,156.0,120.14,2,1
2020-10-01,2020,10,October,Cuddalore,226.4,29.78,8.22,5.43,490.12,6.56,604.36,4904309,46,139,18,8,211,1,NE_Monsoon,200.0,93.0,159.18,2,0
2020-11-01,2020,11,November,Cuddalore,335.5,24.9,7.13,2.31,184.47,6.68,1110.79,4155847,33,111,18,6,168,1,NE_Monsoon,211.0,200.0,226.4,2,0
2020-12-01,2020,12,December,Cuddalore,198.13,28.08,8.09,15.32,280.81,6.6,648.37,1483770,36,92,13,8,149,1,NE_Monsoon,168.0,211.0,335.5,2,0
2021-01-01,2021,1,January,Cuddalore,56.04,30.36,7.89,6.38,5.29,4.5,696.22,2695732,10,30,9,3,52,0,Winter,149.0,168.0,198.13,2,3
2021-02-01,2021,2,February,Cuddalore,33.24,25.95,6.75,7.61,52.88,5.34,734.39,2981498,20,68,7,3,98,0,Winter,52.0,149.0,56.04,2,3
2021-03-01,2021,3,March,Cuddalore,18.32,26.37,7.98,2.77,127.05,6.53,887.39,2522862,11,38,9,6,64,0,Summer,98.0,52.0,33.24,2,2
2021-04-01,2021,4,April,Cuddalore,13.03,28.05,6.91,8.73,185.84,5.91,919.47,1478536,25,76,10,8,119,0,Summer,64.0,98.0,18.32,2,2
2021-05-01,2021,5,May,Cuddalore,54.13,31.19,8.1,13.2,261.74,8.2,843.68,2906967,24,74,11,5,114,0,Summer,119.0,64.0,13.03,2,2
2021-06-01,2021,6,June,Cuddalore,116.51,37.28,8.28,21.17,336.6,8.72,298.49,1279680,40,128,20,11,199,1,SW_Monsoon,114.0,119.0,54.13,2,1
2021-07-01,2021,7,July,Cuddalore,77.95,34.72,7.34,21.28,166.84,5.34,547.6,1866528,23,77,14,6,120,0,SW_Monsoon,199.0,114.0,116.51,2,1
2021-08-01,2021,8,August,Cuddalore,140.5,29.18,7.69,17.74,88.06,8.42,816.22,4755313,22,67,13,5,107,0,SW_Monsoon,120.0,199.0,77.95,2,1
2021-09-01,2021,9,September,Cuddalore,80.8,28.73,8.06,17.06,321.63,6.21,916.48,1897636,38,116,16,6,176,1,SW_Monsoon,107.0,120.0,140.5,2,1
2021-10-01,2021,10,October,Cuddalore,273.82,28.81,7.8,28.48,264.39,5.91,451.16,3462906,32,103,17,11,163,1,NE_Monsoon,176.0,107.0,80.8,2,0
2021-11-01,2021,11,November,Cuddalore,314.07,25.57,7.0,28.24,112.93,4.39,988.12,2831499,29,87,20,7,143,1,NE_Monsoon,163.0,176.0,273.82,2,0
2021-12-01,2021,12,December,Cuddalore,128.37,31.65,7.83,3.12,38.86,8.01,1009.03,1947839,23,69,11,3,106,0,NE_Monsoon,143.0,163.0,314.07,2,0
2022-01-01,2022,1,January,Cuddalore,7.75,36.23,6.37,4.55,194.69,6.05,1076.31,1270878,24,65,14,3,106,0,Winter,106.0,143.0,128.37,2,3
2022-02-01,2022,2,February,Cuddalore,38.81,24.66,8.22,13.15,186.14,5.7,270.5,2950020,26,88,15,8,137,1,Winter,106.0,106.0,7.75,2,3
2022-03-01,2022,3,March,Cuddalore,20.75,34.7,7.44,2.76,147.43,5.98,380.36,1091952,14,50,7,7,78,0,Summer,137.0,106.0,38.81,2,2
2022-04-01,2022,4,April,Cuddalore,7.98,32.35,6.4,11.47,14.74,4.3,505.33,874319,12,24,10,7,53,0,Summer,78.0,137.0,20.75,2,2
2022-05-01,2022,5,May,Cuddalore,33.46,36.94,7.46,9.66,112.46,8.75,977.19,1569626,26,81,8,7,122,0,Summer,53.0,78.0,7.98,2,2
2022-06-01,2022,6,June,Cuddalore,142.29,26.64,7.81,7.83,124.95,5.48,925.57,2925595,18,41,13,8,80,0,SW_Monsoon,122.0,53.0,33.46,2,1
2022-07-01,2022,7,July,Cuddalore,107.59,24.62,8.43,17.53,135.74,5.59,648.54,2492719,27,93,17,4,141,1,SW_Monsoon,80.0,122.0,142.29,2,1
2022-08-01,2022,8,August,Cuddalore,142.52,28.27,8.48,2.93,277.95,6.24,646.6,3138681,30,103,11,8,152,1,SW_Monsoon,141.0,80.0,107.59,2,1
2022-09-01,2022,9,September,Cuddalore,150.93,31.17,7.03,11.8,289.76,8.42,406.99,1463813,29,86,17,7,139,1,SW_Monsoon,152.0,141.0,142.52,2,1
2022-10-01,2022,10,October,Cuddalore,119.46,29.23,7.78,22.0,89.71,4.04,952.98,4362965,18,53,14,7,92,0,NE_Monsoon,139.0,152.0,150.93,2,0
2022-11-01,2022,11,November,Cuddalore,124.93,29.09,7.35,2.92,195.15,4.9,847.07,3897477,22,72,12,7,113,0,NE_Monsoon,92.0,139.0,119.46,2,0
2022-12-01,2022,12,December,Cuddalore,123.76,37.31,8.45,18.18,532.04,4.9,225.42,1990496,38,107,17,8,170,1,NE_Monsoon,113.0,92.0,124.93,2,0
2023-01-01,2023,1,January,Cuddalore,39.31,26.65,7.28,11.75,148.24,5.98,522.34,4875979,28,89,11,4,132,1,Winter,170.0,113.0,123.76,2,3
2023-02-01,2023,2,February,Cuddalore,30.34,36.47,6.42,15.83,265.74,4.39,1133.41,4010940,27,83,19,10,139,1,Winter,132.0,170.0,39.31,2,3
2023-03-01,2023,3,March,Cuddalore,47.6,24.47,7.56,3.64,96.87,5.74,669.06,1153009,14,51,11,7,83,0,Summer,139.0,132.0,30.34,2,2
2023-04-01,2023,4,April,Cuddalore,29.8,35.58,6.43,11.5,94.62,5.55,1132.54,2310948,26,81,16,7,130,1,Summer,83.0,139.0,47.6,2,2
2023-05-01,2023,5,May,Cuddalore,48.25,36.34,8.13,9.65,69.67,7.31,909.91,4478713,24,60,14,3,101,0,Summer,130.0,83.0,29.8,2,2
2023-06-01,2023,6,June,Cuddalore,142.47,29.63,6.44,2.6,21.56,5.9,537.24,3223024,12,48,9,7,76,0,SW_Monsoon,101.0,130.0,48.25,2,1
2023-07-01,2023,7,July,Cuddalore,93.72,24.2,6.55,10.8,28.77,6.55,655.02,2421097,16,49,6,2,73,0,SW_Monsoon,76.0,101.0,142.47,2,1
2023-08-01,2023,8,August,Cuddalore,130.79,26.15,8.3,2.67,23.12,4.94,1109.46,2505187,15,33,10,6,64,0,SW_Monsoon,73.0,76.0,93.72,2,1
2023-09-01,2023,9,September,Cuddalore,95.83,35.59,6.25,6.76,64.08,8.3,667.54,1633942,12,24,6,7,49,0,SW_Monsoon,64.0,73.0,130.79,2,1
2023-10-01,2023,10,October,Cuddalore,271.97,37.14,7.86,7.39,247.61,4.36,589.66,1997060,26,80,16,5,127,1,NE_Monsoon,49.0,64.0,95.83,2,0
2023-11-01,2023,11,November,Cuddalore,111.9,29.4,6.56,22.74,59.21,7.32,486.18,621284,28,86,14,4,132,1,NE_Monsoon,127.0,49.0,271.97,2,0
2023-12-01,2023,12,December,Cuddalore,297.92,26.7,7.74,4.44,284.4,4.81,616.35,4583746,30,102,15,9,156,1,NE_Monsoon,132.0,127.0,111.9,2,0
2024-01-01,2024,1,January,Cuddalore,20.8,26.27,6.77,4.22,145.45,6.81,1144.95,1608731,16,35,11,6,68,0,Winter,156.0,132.0,297.92,2,3
2024-02-01,2024,2,February,Cuddalore,27.02,36.19,7.03,9.92,33.06,4.28,611.99,3899584,15,50,11,6,82,0,Winter,68.0,156.0,20.8,2,3
2024-03-01,2024,3,March,Cuddalore,42.71,33.09,7.18,7.26,39.42,6.57,787.18,3913553,11,23,13,7,54,0,Summer,82.0,68.0,27.02,2,2
2024-04-01,2024,4,April,Cuddalore,50.09,31.76,7.24,5.14,83.45,5.92,1035.57,2288144,13,38,7,7,65,0,Summer,54.0,82.0,42.71,2,2
2024-05-01,2024,5,May,Cuddalore,28.48,31.73,6.73,12.1,148.96,8.05,980.73,1191572,23,64,12,8,107,0,Summer,65.0,54.0,50.09,2,2
2024-06-01,2024,6,June,Cuddalore,154.16,36.11,7.35,4.41,91.52,7.24,621.75,1862617,20,51,11,5,87,0,SW_Monsoon,107.0,65.0,28.48,2,1
2024-07-01,2024,7,July,Cuddalore,87.19,26.38,7.85,18.76,194.18,7.57,935.94,3966948,30,81,17,5,133,1,SW_Monsoon,87.0,107.0,154.16,2,1
2024-08-01,2024,8,August,Cuddalore,78.62,25.76,6.52,18.26,197.25,7.91,946.25,599919,25,68,11,9,113,0,SW_Monsoon,133.0,87.0,87.19,2,1
2024-09-01,2024,9,September,Cuddalore,136.82,29.95,7.25,13.0,349.37,7.3,549.16,2208365,32,85,16,7,140,1,SW_Monsoon,113.0,133.0,78.62,2,1
2024-10-01,2024,10,October,Cuddalore,126.62,30.89,7.97,8.34,150.91,5.21,1191.67,1093167,22,59,14,3,98,0,NE_Monsoon,140.0,113.0,136.82,2,0
2024-11-01,2024,11,November,Cuddalore,342.71,37.26,8.23,8.12,355.07,7.8,1186.03,3662466,31,86,15,7,139,1,NE_Monsoon,98.0,140.0,126.62,2,0
2024-12-01,2024,12,December,Cuddalore,146.3,33.54,7.43,17.24,143.79,4.17,610.27,542192,31,101,12,8,152,1,NE_Monsoon,139.0,98.0,342.71,2,0
2018-01-01,2018,1,January,Madurai,37.97,32.43,6.25,5.7,178.22,4.74,895.42,3290373,18,58,10,8,94,0,Winter,0.0,0.0,0.0,3,3
2018-02-01,2018,2,February,Madurai,23.05,30.08,6.4,4.15,167.5,7.68,1198.35,3143061,15,37,10,6,68,0,Winter,94.0,0.0,37.97,3,3
2018-03-01,2018,3,March,Madurai,48.21,25.66,7.14,13.56,107.47,6.86,787.77,4290328,24,74,9,7,114,0,Summer,68.0,94.0,23.05,3,2
2018-04-01,2018,4,April,Madurai,43.51,32.2,7.55,11.4,260.29,7.91,256.14,4502713,28,87,10,8,133,1,Summer,114.0,68.0,48.21,3,2
2018-05-01,2018,5,May,Madurai,30.2,30.76,6.51,2.03,203.82,6.48,636.85,4763224,21,69,15,6,111,0,Summer,133.0,114.0,43.51,3,2
2018-06-01,2018,6,June,Madurai,125.7,37.39,6.36,2.5,118.52,5.31,446.98,519675,27,80,12,4,123,0,SW_Monsoon,111.0,133.0,30.2,3,1
2018-07-01,2018,7,July,Madurai,144.48,27.75,6.56,20.65,19.53,7.1,761.99,1433396,15,58,13,8,94,0,SW_Monsoon,123.0,111.0,125.7,3,1
2018-08-01,2018,8,August,Madurai,149.98,24.31,7.73,23.17,235.27,8.68,252.26,4041483,34,89,20,9,152,1,SW_Monsoon,94.0,123.0,144.48,3,1
2018-09-01,2018,9,September,Madurai,85.65,33.16,6.66,14.09,194.85,8.86,808.53,3998408,21,51,18,4,94,0,SW_Monsoon,152.0,94.0,149.98,3,1
2018-10-01,2018,10,October,Madurai,312.65,31.86,7.4,5.09,481.68,7.61,267.67,3952501,35,93,20,8,156,1,NE_Monsoon,94.0,152.0,85.65,3,0
2018-11-01,2018,11,November,Madurai,221.17,26.32,8.38,27.44,374.65,6.31,611.77,3003292,46,141,21,12,220,1,NE_Monsoon,156.0,94.0,312.65,3,0
2018-12-01,2018,12,December,Madurai,301.6,30.43,6.32,25.5,112.76,5.29,364.71,1088158,28,89,17,9,143,1,NE_Monsoon,220.0,156.0,221.17,3,0
2019-01-01,2019,1,January,Madurai,41.28,26.26,6.79,15.19,156.85,7.75,757.98,3727544,16,41,8,4,69,0,Winter,143.0,220.0,301.6,3,3
2019-02-01,2019,2,February,Madurai,32.38,25.48,7.71,13.3,106.52,7.88,1164.48,3255063,20,69,14,6,109,0,Winter,69.0,143.0,41.28,3,3
2019-03-01,2019,3,March,Madurai,20.2,28.37,7.68,3.78,251.15,6.6,647.6,1756715,17,49,10,5,81,0,Summer,109.0,69.0,32.38,3,2
2019-04-01,2019,4,April,Madurai,20.23,37.77,6.52,3.87,51.58,8.47,854.29,3343236,17,50,11,4,82,0,Summer,81.0,109.0,20.2,3,2
2019-05-01,2019,5,May,Madurai,53.53,35.25,7.36,15.5,116.97,8.92,867.92,3702209,21,73,14,6,114,0,Summer,82.0,81.0,20.23,3,2
2019-06-01,2019,6,June,Madurai,128.69,25.3,6.27,19.96,88.1,5.9,1173.46,4378363,22,56,9,8,95,0,SW_Monsoon,114.0,82.0,53.53,3,1
2019-07-01,2019,7,July,Madurai,131.02,28.4,7.28,19.93,192.89,5.79,694.21,1033634,33,97,14,7,151,1,SW_Monsoon,95.0,114.0,128.69,3,1
2019-08-01,2019,8,August,Madurai,142.6,25.41,6.75,4.44,146.14,6.25,948.83,3751128,20,62,11,6,99,0,SW_Monsoon,151.0,95.0,131.02,3,1
2019-09-01,2019,9,September,Madurai,107.13,37.71,7.66,4.08,283.99,5.63,886.33,623950,28,87,10,7,132,1,SW_Monsoon,99.0,151.0,142.6,3,1
2019-10-01,2019,10,October,Madurai,273.54,31.18,6.9,8.06,18.59,5.52,853.16,3956653,16,40,15,5,76,0,NE_Monsoon,132.0,99.0,107.13,3,0
2019-11-01,2019,11,November,Madurai,114.77,36.58,7.7,28.18,0.11,4.85,589.76,3062605,21,68,15,9,113,0,NE_Monsoon,76.0,132.0,273.54,3,0
2019-12-01,2019,12,December,Madurai,195.1,37.68,6.45,14.45,23.53,7.7,1118.08,3680246,23,72,10,5,110,0,NE_Monsoon,113.0,76.0,114.77,3,0
2020-01-01,2020,1,January,Madurai,46.47,35.27,6.24,15.43,203.47,5.52,1029.39,1664795,25,73,16,9,123,0,Winter,110.0,113.0,195.1,3,3
2020-02-01,2020,2,February,Madurai,11.61,24.96,6.81,1.5,158.81,5.42,1024.53,595028,22,64,14,5,105,0,Winter,123.0,110.0,46.47,3,3
2020-03-01,2020,3,March,Madurai,8.55,36.28,8.22,5.82,95.31,8.95,826.18,785711,13,41,8,5,67,0,Summer,105.0,123.0,11.61,3,2
2020-04-01,2020,4,April,Madurai,59.75,35.98,7.4,1.77,232.78,6.99,314.93,960796,27,68,11,4,110,0,Summer,67.0,105.0,8.55,3,2
2020-05-01,2020,5,May,Madurai,8.56,37.38,6.26,11.36,23.02,8.55,664.43,3957550,22,70,11,6,109,0,Summer,110.0,67.0,59.75,3,2
2020-06-01,2020,6,June,Madurai,123.13,32.28,7.82,6.61,215.19,4.52,584.51,770914,22,74,10,6,112,0,SW_Monsoon,109.0,110.0,8.56,3,1
2020-07-01,2020,7,July,Madurai,134.36,31.09,7.66,2.82,106.84,5.81,672.49,3621881,18,67,15,3,103,0,SW_Monsoon,112.0,109.0,123.13,3,1
2020-08-01,2020,8,August,Madurai,105.05,30.62,7.63,11.91,187.94,6.37,790.87,3164496,23,64,12,7,106,0,SW_Monsoon,103.0,112.0,134.36,3,1
2020-09-01,2020,9,September,Madurai,88.49,30.48,7.21,6.18,166.65,4.22,477.82,1685111,22,67,14,7,110,0,SW_Monsoon,106.0,103.0,105.05,3,1
2020-10-01,2020,10,October,Madurai,186.31,31.1,8.21,16.6,393.26,8.96,331.49,692512,31,87,20,11,149,1,NE_Monsoon,110.0,106.0,88.49,3,0
2020-11-01,2020,11,November,Madurai,278.51,32.51,6.91,26.64,534.83,8.11,201.57,1147341,39,115,21,10,185,1,NE_Monsoon,149.0,110.0,186.31,3,0
2020-12-01,2020,12,December,Madurai,164.17,33.31,8.04,21.75,51.68,6.98,749.58,3485696,19,57,16,5,97,0,NE_Monsoon,185.0,149.0,278.51,3,0
2021-01-01,2021,1,January,Madurai,41.77,33.5,7.03,9.82,2.84,7.18,1113.29,606022,15,37,9,3,64,0,Winter,97.0,185.0,164.17,3,3
2021-02-01,2021,2,February,Madurai,34.15,35.61,8.48,13.26,194.57,6.66,648.85,2252374,29,75,13,9,126,1,Winter,64.0,97.0,41.77,3,3
2021-03-01,2021,3,March,Madurai,35.73,28.8,7.88,10.71,236.77,7.46,629.93,2279685,32,90,9,6,137,1,Summer,126.0,64.0,34.15,3,2
2021-04-01,2021,4,April,Madurai,29.76,32.11,7.95,2.3,249.1,4.06,570.05,828821,19,66,14,5,104,0,Summer,137.0,126.0,35.73,3,2
2021-05-01,2021,5,May,Madurai,14.18,30.03,6.53,14.33,96.85,4.77,225.45,517297,25,74,6,3,108,0,Summer,104.0,137.0,29.76,3,2
2021-06-01,2021,6,June,Madurai,127.71,32.48,7.04,6.17,414.98,6.27,888.27,1328791,35,98,15,7,155,1,SW_Monsoon,108.0,104.0,14.18,3,1
2021-07-01,2021,7,July,Madurai,63.9,24.43,7.09,4.85,9.81,7.78,658.52,1282877,17,65,8,2,92,0,SW_Monsoon,155.0,108.0,127.71,3,1
2021-08-01,2021,8,August,Madurai,97.48,30.64,7.22,23.88,229.06,4.44,806.88,3979027,24,60,15,9,108,0,SW_Monsoon,92.0,155.0,63.9,3,1
2021-09-01,2021,9,September,Madurai,107.79,31.45,6.59,6.83,352.19,5.78,1026.81,626060,22,71,15,8,116,0,SW_Monsoon,108.0,92.0,97.48,3,1
2021-10-01,2021,10,October,Madurai,307.67,31.63,6.58,19.32,559.84,4.75,1016.76,1692931,38,98,19,14,169,1,NE_Monsoon,116.0,108.0,107.79,3,0
2021-11-01,2021,11,November,Madurai,242.34,32.69,6.66,13.61,22.1,6.38,743.02,1288140,21,68,12,5,106,0,NE_Monsoon,169.0,116.0,307.67,3,0
2021-12-01,2021,12,December,Madurai,237.33,24.81,7.77,15.79,19.3,8.85,1149.11,2727503,16,39,13,4,72,0,NE_Monsoon,106.0,169.0,242.34,3,0
2022-01-01,2022,1,January,Madurai,32.03,31.31,7.49,7.51,169.61,8.59,562.27,1972178,28,85,9,6,128,1,Winter,72.0,106.0,237.33,3,3
2022-02-01,2022,2,February,Madurai,49.36,30.67,8.49,1.7,0.89,7.2,498.43,1135719,12,25,8,5,50,0,Winter,128.0,72.0,32.03,3,3
2022-03-01,2022,3,March,Madurai,58.43,27.09,7.89,12.39,260.19,4.15,1072.05,2937245,32,80,17,6,135,1,Summer,50.0,128.0,49.36,3,2
2022-04-01,2022,4,April,Madurai,16.59,37.4,6.22,15.97,189.51,8.14,494.62,3263398,20,70,13,4,107,0,Summer,135.0,50.0,58.43,3,2
2022-05-01,2022,5,May,Madurai,8.8,24.08,8.36,13.29,226.57,8.42,900.03,4316126,24,58,11,9,102,0,Summer,107.0,135.0,16.59,3,2
2022-06-01,2022,6,June,Madurai,62.45,28.29,7.46,15.61,242.36,7.49,206.09,3667759,22,73,10,5,110,0,SW_Monsoon,102.0,107.0,8.8,3,1
2022-07-01,2022,7,July,Madurai,84.22,30.7,6.53,17.39,280.08,5.06,1063.4,4431586,34,114,17,7,172,1,SW_Monsoon,110.0,102.0,62.45,3,1
2022-08-01,2022,8,August,Madurai,62.2,32.17,8.14,13.72,92.1,4.17,414.63,954418,21,64,13,8,106,0,SW_Monsoon,172.0,110.0,84.22,3,1
2022-09-01,2022,9,September,Madurai,105.39,35.5,7.48,15.73,221.04,6.32,434.65,2474324,31,105,13,9,158,1,SW_Monsoon,106.0,172.0,62.2,3,1
2022-10-01,2022,10,October,Madurai,329.2,34.09,7.12,6.42,493.92,8.12,921.72,769160,47,137,25,12,221,1,NE_Monsoon,158.0,106.0,105.39,3,0
2022-11-01,2022,11,November,Madurai,111.71,27.87,7.83,3.51,470.03,4.02,446.82,3376280,34,95,20,6,155,1,NE_Monsoon,221.0,158.0,329.2,3,0
2022-12-01,2022,12,December,Madurai,132.48,31.91,8.19,18.98,508.03,8.71,622.38,2048485,44,131,19,8,202,1,NE_Monsoon,155.0,221.0,111.71,3,0
2023-01-01,2023,1,January,Madurai,42.79,30.91,7.09,10.42,197.08,4.02,366.95,1167540,24,57,15,7,103,0,Winter,202.0,155.0,132.48,3,3
2023-02-01,2023,2,February,Madurai,12.13,33.47,8.37,4.89,133.11,7.17,1199.47,3401092,20,73,14,5,112,0,Winter,103.0,202.0,42.79,3,3
2023-03-01,2023,3,March,Madurai,30.17,26.92,7.05,6.42,14.66,7.84,616.5,3672382,17,45,9,3,74,0,Summer,112.0,103.0,12.13,3,2
